en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Granitne,ru,Р вЂњРЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ,ua,Р вЂњРЎР‚Р В°Р Р…iРЎвЂљР Р…Р Вµ
T,en,Dovge,ru,Р вЂќР С•Р Р†Р С–Р Вµ,ua,Р вЂќР С•Р Р†Р С–Р Вµ
T,en,Znosichi,ru,Р вЂ”Р Р…Р С•РЎРѓР С‘РЎвЂЎi,ua,Р вЂ”Р Р…Р С•РЎРѓР С‘РЎвЂЎi
T,en,Kalinivka,ru,Р С™Р В°Р В»iР Р…iР Р†Р С”Р В°,ua,Р С™Р В°Р В»iР Р…iР Р†Р С”Р В°
T,en,Kam'jane-sluchans'ke,ru,Р С™Р В°Р С?'РЎРЏР Р…Р Вµ-Р РЋР В»РЎС“РЎвЂЎР В°Р Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р С™Р В°Р С?'РЎРЏР Р…Р Вµ-Р РЋР В»РЎС“РЎвЂЎР В°Р Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Karasin,ru,Р С™Р В°РЎР‚Р В°РЎРѓР С‘Р Р…,ua,Р С™Р В°РЎР‚Р В°РЎРѓР С‘Р Р…
T,en,Katerinivka,ru,Р С™Р В°РЎвЂљР ВµРЎР‚Р С‘Р Р…iР Р†Р С”Р В°,ua,Р С™Р В°РЎвЂљР ВµРЎР‚Р С‘Р Р…iР Р†Р С”Р В°
T,en,Klesiv,ru,Р С™Р В»Р ВµРЎРѓiР Р†,ua,Р С™Р В»Р ВµРЎРѓiР Р†
T,en,Korost,ru,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљ,ua,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљ
T,en,Kostjantinivka,ru,Р С™Р С•РЎРѓРЎвЂљРЎРЏР Р…РЎвЂљР С‘Р Р…iР Р†Р С”Р В°,ua,Р С™Р С•РЎРѓРЎвЂљРЎРЏР Р…РЎвЂљР С‘Р Р…iР Р†Р С”Р В°
T,en,Krichil's'k,ru,Р С™РЎР‚Р С‘РЎвЂЎР С‘Р В»РЎРЉРЎРѓРЎРЉР С”,ua,Р С™РЎР‚Р С‘РЎвЂЎР С‘Р В»РЎРЉРЎРѓРЎРЉР С”
T,en,Kuz'mivka,ru,Р С™РЎС“Р В·РЎРЉР С?iР Р†Р С”Р В°,ua,Р С™РЎС“Р В·РЎРЉР С?iР Р†Р С”Р В°
T,en,Ljubikovichi,ru,Р вЂєРЎР‹Р В±Р С‘Р С”Р С•Р Р†Р С‘РЎвЂЎi,ua,Р вЂєРЎР‹Р В±Р С‘Р С”Р С•Р Р†Р С‘РЎвЂЎi
T,en,Ljuhcha,ru,Р вЂєРЎР‹РЎвЂ¦РЎвЂЎР В°,ua,Р вЂєРЎР‹РЎвЂ¦РЎвЂЎР В°
T,en,Male verbche,ru,Р СљР В°Р В»Р Вµ Р вЂ™Р ВµРЎР‚Р В±РЎвЂЎР Вµ,ua,Р СљР В°Р В»Р Вµ Р вЂ™Р ВµРЎР‚Р В±РЎвЂЎР Вµ
T,en,Nemovichi,ru,Р СњР ВµР С?Р С•Р Р†Р С‘РЎвЂЎi,ua,Р СњР ВµР С?Р С•Р Р†Р С‘РЎвЂЎi
T,en,Odrinki,ru,Р С›Р Т‘РЎР‚Р С‘Р Р…Р С”Р С‘,ua,Р С›Р Т‘РЎР‚Р С‘Р Р…Р С”Р С‘
T,en,Pugach,ru,Р СџРЎС“Р С–Р В°РЎвЂЎ,ua,Р СџРЎС“Р С–Р В°РЎвЂЎ
T,en,Remchitsi,ru,Р В Р ВµР С?РЎвЂЎР С‘РЎвЂ i,ua,Р В Р ВµР С?РЎвЂЎР С‘РЎвЂ i
T,en,Sarni,ru,Р РЋР В°РЎР‚Р Р…Р С‘,ua,Р РЋР В°РЎР‚Р Р…Р С‘
T,en,Selische,ru,Р РЋР ВµР В»Р С‘РЎвЂ°Р Вµ,ua,Р РЋР ВµР В»Р С‘РЎвЂ°Р Вµ
T,en,Stepan',ru,Р РЋРЎвЂљР ВµР С—Р В°Р Р…РЎРЉ,ua,Р РЋРЎвЂљР ВµР С—Р В°Р Р…РЎРЉ
T,en,Stril's'k,ru,Р РЋРЎвЂљРЎР‚iР В»РЎРЉРЎРѓРЎРЉР С”,ua,Р РЋРЎвЂљРЎР‚iР В»РЎРЉРЎРѓРЎРЉР С”
T,en,Tinne,ru,Р СћР С‘Р Р…Р Р…Р Вµ,ua,Р СћР С‘Р Р…Р Р…Р Вµ
T,en,Triskini,ru,Р СћРЎР‚iРЎРѓР С”Р С‘Р Р…i,ua,Р СћРЎР‚iРЎРѓР С”Р С‘Р Р…i
T,en,Tutovichi,ru,Р СћРЎС“РЎвЂљР С•Р Р†Р С‘РЎвЂЎi,ua,Р СћРЎС“РЎвЂљР С•Р Р†Р С‘РЎвЂЎi
T,en,Tseptsevichi,ru,Р В¦Р ВµР С—РЎвЂ Р ВµР Р†Р С‘РЎвЂЎi,ua,Р В¦Р ВµР С—РЎвЂ Р ВµР Р†Р С‘РЎвЂЎi
T,en,CHabel',ru,Р В§Р В°Р В±Р ВµР В»РЎРЉ,ua,Р В§Р В°Р В±Р ВµР В»РЎРЉ
T,en,CHemerne,ru,Р В§Р ВµР С?Р ВµРЎР‚Р Р…Р Вµ,ua,Р В§Р ВµР С?Р ВµРЎР‚Р Р…Р Вµ
T,en,CHudel',ru,Р В§РЎС“Р Т‘Р ВµР В»РЎРЉ,ua,Р В§РЎС“Р Т‘Р ВµР В»РЎРЉ
T,en,JAblun'ka,ru,Р Р‡Р В±Р В»РЎС“Р Р…РЎРЉР С”Р В°,ua,Р Р‡Р В±Р В»РЎС“Р Р…РЎРЉР С”Р В°
T,en,JAsnogirka,ru,Р Р‡РЎРѓР Р…Р С•Р С–iРЎР‚Р С”Р В°,ua,Р Р‡РЎРѓР Р…Р С•Р С–iРЎР‚Р С”Р В°
R,en,Sevastopol'_ misto,ru,Р РЋР ВµР Р†Р В°РЎРѓРЎвЂљР С•Р С—Р С•Р В»РЎРЉ_ Р СљiРЎРѓРЎвЂљР С•,ua,Р РЋР ВµР Р†Р В°РЎРѓРЎвЂљР С•Р С—Р С•Р В»РЎРЉ_ Р СљiРЎРѓРЎвЂљР С•
T,en,Andriyivka,ru,Р С’Р Р…Р Т‘РЎР‚iРЎвЂ”Р Р†Р С”Р В°,ua,Р С’Р Р…Р Т‘РЎР‚iРЎвЂ”Р Р†Р С”Р В°
T,en,Vishneve,ru,Р вЂ™Р С‘РЎв‚¬Р Р…Р ВµР Р†Р Вµ,ua,Р вЂ™Р С‘РЎв‚¬Р Р…Р ВµР Р†Р Вµ
T,en,Inkerman,ru,IР Р…Р С”Р ВµРЎР‚Р С?Р В°Р Р…,ua,IР Р…Р С”Р ВµРЎР‚Р С?Р В°Р Р…
T,en,Verhn'osadove,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЉР С•РЎРѓР В°Р Т‘Р С•Р Р†Р Вµ,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЉР С•РЎРѓР В°Р Т‘Р С•Р Р†Р Вµ
T,en,Goncharne,ru,Р вЂњР С•Р Р…РЎвЂЎР В°РЎР‚Р Р…Р Вµ,ua,Р вЂњР С•Р Р…РЎвЂЎР В°РЎР‚Р Р…Р Вµ
T,en,Dal'ne,ru,Р вЂќР В°Р В»РЎРЉР Р…РЎвЂќ,ua,Р вЂќР В°Р В»РЎРЉР Р…РЎвЂќ
T,en,Kacha,ru,Р С™Р В°РЎвЂЎР В°,ua,Р С™Р В°РЎвЂЎР В°
T,en,Orline,ru,Р С›РЎР‚Р В»Р С‘Р Р…Р Вµ,ua,Р С›РЎР‚Р В»Р С‘Р Р…Р Вµ
T,en,Orlivka,ru,Р С›РЎР‚Р В»iР Р†Р С”Р В°,ua,Р С›РЎР‚Р В»iР Р†Р С”Р В°
T,en,Osipenko,ru,Р С›РЎРѓР С‘Р С—Р ВµР Р…Р С”Р С•,ua,Р С›РЎРѓР С‘Р С—Р ВµР Р…Р С”Р С•
T,en,Peredove,ru,Р СџР ВµРЎР‚Р ВµР Т‘Р С•Р Р†Р Вµ,ua,Р СџР ВµРЎР‚Р ВµР Т‘Р С•Р Р†Р Вµ
T,en,Poljushko,ru,Р СџР С•Р В»РЎР‹РЎв‚¬Р С”Р С•,ua,Р СџР С•Р В»РЎР‹РЎв‚¬Р С”Р С•
T,en,Ridne,ru,Р В iР Т‘Р Р…Р Вµ,ua,Р В iР Т‘Р Р…Р Вµ
T,en,Rodnikivs'ke,ru,Р В Р С•Р Т‘Р Р…Р С‘Р С”iР Р†РЎРѓРЎРЉР С”Р Вµ,ua,Р В Р С•Р Т‘Р Р…Р С‘Р С”iР Р†РЎРѓРЎРЉР С”Р Вµ
T,en,Sevastopol',ru,Р РЋР ВµР Р†Р В°РЎРѓРЎвЂљР С•Р С—Р С•Р В»РЎРЉ,ua,Р РЋР ВµР Р†Р В°РЎРѓРЎвЂљР С•Р С—Р С•Р В»РЎРЉ
T,en,Sonjachnij,ru,Р РЋР С•Р Р…РЎРЏРЎвЂЎР Р…Р С‘Р в„–,ua,Р РЋР С•Р Р…РЎРЏРЎвЂЎР Р…Р С‘Р в„–
T,en,Ternivka,ru,Р СћР ВµРЎР‚Р Р…iР Р†Р С”Р В°,ua,Р СћР ВµРЎР‚Р Р…iР Р†Р С”Р В°
T,en,Frontove,ru,Р В¤РЎР‚Р С•Р Р…РЎвЂљР С•Р Р†Р Вµ,ua,Р В¤РЎР‚Р С•Р Р…РЎвЂљР С•Р Р†Р Вµ
T,en,Fruktove,ru,Р В¤РЎР‚РЎС“Р С”РЎвЂљР С•Р Р†Р Вµ,ua,Р В¤РЎР‚РЎС“Р С”РЎвЂљР С•Р Р†Р Вµ
T,en,Shiroke,ru,Р РЃР С‘РЎР‚Р С•Р С”Р Вµ,ua,Р РЃР С‘РЎР‚Р С•Р С”Р Вµ
R,en,Sums'ka obl,ru,Р РЋРЎС“Р С?РЎРѓРЎРЉР С”Р В° Р С•Р В±Р В»,ua,Р РЋРЎС“Р С?РЎРѓРЎРЉР С”Р В° Р С•Р В±Р В»
T,en,Bilani,ru,Р вЂ?iР В»Р В°Р Р…Р С‘,ua,Р вЂ?iР В»Р В°Р Р…Р С‘
T,en,Bilopillja,ru,Р вЂ?iР В»Р С•Р С—iР В»Р В»РЎРЏ,ua,Р вЂ?iР В»Р С•Р С—iР В»Р В»РЎРЏ
T,en,Bobrik,ru,Р вЂ?Р С•Р В±РЎР‚Р С‘Р С”,ua,Р вЂ?Р С•Р В±РЎР‚Р С‘Р С”
T,en,Verhosulka,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р С•РЎРѓРЎС“Р В»Р С”Р В°,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р С•РЎРѓРЎС“Р В»Р С”Р В°
T,en,Viri,ru,Р вЂ™Р С‘РЎР‚Р С‘,ua,Р вЂ™Р С‘РЎР‚Р С‘
T,en,Volfine,ru,Р вЂ™Р С•Р В»РЎвЂћР С‘Р Р…Р Вµ,ua,Р вЂ™Р С•Р В»РЎвЂћР С‘Р Р…Р Вµ
T,en,Vorozhba,ru,Р вЂ™Р С•РЎР‚Р С•Р В¶Р В±Р В°,ua,Р вЂ™Р С•РЎР‚Р С•Р В¶Р В±Р В°
T,en,Voronivka,ru,Р вЂ™Р С•РЎР‚Р С•Р Р…iР Р†Р С”Р В°,ua,Р вЂ™Р С•РЎР‚Р С•Р Р…iР Р†Р С”Р В°
T,en,Gannivka-virivs'ka,ru,Р вЂњР В°Р Р…Р Р…iР Р†Р С”Р В°-Р вЂ™Р С‘РЎР‚iР Р†РЎРѓРЎРЉР С”Р В°,ua,Р вЂњР В°Р Р…Р Р…iР Р†Р С”Р В°-Р вЂ™Р С‘РЎР‚iР Р†РЎРѓРЎРЉР С”Р В°
T,en,Gorobivka,ru,Р вЂњР С•РЎР‚Р С•Р В±iР Р†Р С”Р В°,ua,Р вЂњР С•РЎР‚Р С•Р В±iР Р†Р С”Р В°
T,en,Gurinivka,ru,Р вЂњРЎС“РЎР‚Р С‘Р Р…iР Р†Р С”Р В°,ua,Р вЂњРЎС“РЎР‚Р С‘Р Р…iР Р†Р С”Р В°
T,en,Zhovtneve,ru,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ,ua,Р вЂ“Р С•Р Р†РЎвЂљР Р…Р ВµР Р†Р Вµ
T,en,Iskriskivschina,ru,IРЎРѓР С”РЎР‚Р С‘РЎРѓР С”iР Р†РЎвЂ°Р С‘Р Р…Р В°,ua,IРЎРѓР С”РЎР‚Р С‘РЎРѓР С”iР Р†РЎвЂ°Р С‘Р Р…Р В°
T,en,Kal'chenki,ru,Р С™Р В°Р В»РЎРЉРЎвЂЎР ВµР Р…Р С”Р С‘,ua,Р С™Р В°Р В»РЎРЉРЎвЂЎР ВµР Р…Р С”Р С‘
T,en,Korshachina,ru,Р С™Р С•РЎР‚РЎв‚¬Р В°РЎвЂЎР С‘Р Р…Р В°,ua,Р С™Р С•РЎР‚РЎв‚¬Р В°РЎвЂЎР С‘Р Р…Р В°
T,en,Kujanivka,ru,Р С™РЎС“РЎРЏР Р…iР Р†Р С”Р В°,ua,Р С™РЎС“РЎРЏР Р…iР Р†Р С”Р В°
T,en,Lutsikivka,ru,Р вЂєРЎС“РЎвЂ Р С‘Р С”iР Р†Р С”Р В°,ua,Р вЂєРЎС“РЎвЂ Р С‘Р С”iР Р†Р С”Р В°
T,en,Markivka,ru,Р СљР В°РЎР‚Р С”iР Р†Р С”Р В°,ua,Р СљР В°РЎР‚Р С”iР Р†Р С”Р В°
T,en,Moskalenki,ru,Р СљР С•РЎРѓР С”Р В°Р В»Р ВµР Р…Р С”Р С‘,ua,Р СљР С•РЎРѓР С”Р В°Р В»Р ВµР Р…Р С”Р С‘
T,en,Novi virki,ru,Р СњР С•Р Р†i Р вЂ™Р С‘РЎР‚Р С”Р С‘,ua,Р СњР С•Р Р†i Р вЂ™Р С‘РЎР‚Р С”Р С‘
T,en,Novoivanivka,ru,Р СњР С•Р Р†Р С•iР Р†Р В°Р Р…iР Р†Р С”Р В°,ua,Р СњР С•Р Р†Р С•iР Р†Р В°Р Р…iР Р†Р С”Р В°
T,en,Novopetrivka,ru,Р СњР С•Р Р†Р С•Р С—Р ВµРЎвЂљРЎР‚iР Р†Р С”Р В°,ua,Р СњР С•Р Р†Р С•Р С—Р ВµРЎвЂљРЎР‚iР Р†Р С”Р В°
T,en,Obodi,ru,Р С›Р В±Р С•Р Т‘Р С‘,ua,Р С›Р В±Р С•Р Т‘Р С‘
T,en,Pavlivka,ru,Р СџР В°Р Р†Р В»iР Р†Р С”Р В°,ua,Р СџР В°Р Р†Р В»iР Р†Р С”Р В°
T,en,Richki,ru,Р В iРЎвЂЎР С”Р С‘,ua,Р В iРЎвЂЎР С”Р С‘
T,en,Rizhivka,ru,Р В Р С‘Р В¶iР Р†Р С”Р В°,ua,Р В Р С‘Р В¶iР Р†Р С”Р В°
T,en,Sergiyivka,ru,Р РЋР ВµРЎР‚Р С–iРЎвЂ”Р Р†Р С”Р В°,ua,Р РЋР ВµРЎР‚Р С–iРЎвЂ”Р Р†Р С”Р В°
T,en,Suprunivka,ru,Р РЋРЎС“Р С—РЎР‚РЎС“Р Р…iР Р†Р С”Р В°,ua,Р РЋРЎС“Р С—РЎР‚РЎС“Р Р…iР Р†Р С”Р В°
T,en,Tereschenki,ru,Р СћР ВµРЎР‚Р ВµРЎвЂ°Р ВµР Р…Р С”Р С‘,ua,Р СћР ВµРЎР‚Р ВµРЎвЂ°Р ВµР Р…Р С”Р С‘
T,en,Tovsta,ru,Р СћР С•Р Р†РЎРѓРЎвЂљР В°,ua,Р СћР С•Р Р†РЎРѓРЎвЂљР В°
T,en,Tuchne,ru,Р СћРЎС“РЎвЂЎР Р…Р Вµ,ua,Р СћРЎС“РЎвЂЎР Р…Р Вµ
T,en,Uljanivka,ru,Р Р€Р В»РЎРЏР Р…iР Р†Р С”Р В°,ua,Р Р€Р В»РЎРЏР Р…iР Р†Р С”Р В°
T,en,Shkurativka,ru,Р РЃР С”РЎС“РЎР‚Р В°РЎвЂљiР Р†Р С”Р В°,ua,Р РЃР С”РЎС“РЎР‚Р В°РЎвЂљiР Р†Р С”Р В°
T,en,Bizhivka,ru,Р вЂ?iР В¶iР Р†Р С”Р В°,ua,Р вЂ?iР В¶iР Р†Р С”Р В°
T,en,Boshivka,ru,Р вЂ?Р С•РЎв‚¬iР Р†Р С”Р В°,ua,Р вЂ?Р С•РЎв‚¬iР Р†Р С”Р В°
T,en,Burin',ru,Р вЂ?РЎС“РЎР‚Р С‘Р Р…РЎРЉ,ua,Р вЂ?РЎС“РЎР‚Р С‘Р Р…РЎРЉ
T,en,Verhnja sagarivka,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ Р РЋР В°Р С–Р В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…РЎРЏ Р РЋР В°Р С–Р В°РЎР‚iР Р†Р С”Р В°
T,en,Voznesenka,ru,Р вЂ™Р С•Р В·Р Р…Р ВµРЎРѓР ВµР Р…Р С”Р В°,ua,Р вЂ™Р С•Р В·Р Р…Р ВµРЎРѓР ВµР Р…Р С”Р В°
T,en,Voskresenka,ru,Р вЂ™Р С•РЎРѓР С”РЎР‚Р ВµРЎРѓР ВµР Р…Р С”Р В°,ua,Р вЂ™Р С•РЎРѓР С”РЎР‚Р ВµРЎРѓР ВµР Р…Р С”Р В°
T,en,Gvintove,ru,Р вЂњР Р†Р С‘Р Р…РЎвЂљР С•Р Р†Р Вµ,ua,Р вЂњР Р†Р С‘Р Р…РЎвЂљР С•Р Р†Р Вµ
T,en,Djakivka,ru,Р вЂќРЎРЏР С”iР Р†Р С”Р В°,ua,Р вЂќРЎРЏР С”iР Р†Р С”Р В°
T,en,Zhukivka,ru,Р вЂ“РЎС“Р С”iР Р†Р С”Р В°,ua,Р вЂ“РЎС“Р С”iР Р†Р С”Р В°
T,en,Klepali,ru,Р С™Р В»Р ВµР С—Р В°Р В»Р С‘,ua,Р С™Р В»Р ВµР С—Р В°Р В»Р С‘
T,en,Mikolayivka,ru,Р СљР С‘Р С”Р С•Р В»Р В°РЎвЂ”Р Р†Р С”Р В°,ua,Р СљР С‘Р С”Р С•Р В»Р В°РЎвЂ”Р Р†Р С”Р В°
T,en,Mihajlivka,ru,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°,ua,Р СљР С‘РЎвЂ¦Р В°Р в„–Р В»iР Р†Р С”Р В°
T,en,Oleksandrivka,ru,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iР Р†Р С”Р В°,ua,Р С›Р В»Р ВµР С”РЎРѓР В°Р Р…Р Т‘РЎР‚iР Р†Р С”Р В°
T,en,Piski,ru,Р СџiРЎРѓР С”Р С‘,ua,Р СџiРЎРѓР С”Р С‘
T,en,Romanchukove,ru,Р В Р С•Р С?Р В°Р Р…РЎвЂЎРЎС“Р С”Р С•Р Р†Р Вµ,ua,Р В Р С•Р С?Р В°Р Р…РЎвЂЎРЎС“Р С”Р С•Р Р†Р Вµ
T,en,Sloboda,ru,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°,ua,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°
T,en,Snizhki,ru,Р РЋР Р…iР В¶Р С”Р С‘,ua,Р РЋР Р…iР В¶Р С”Р С‘
T,en,Stepanivka,ru,Р РЋРЎвЂљР ВµР С—Р В°Р Р…iР Р†Р С”Р В°,ua,Р РЋРЎвЂљР ВµР С—Р В°Р Р…iР Р†Р С”Р В°
T,en,Suhoverhivka,ru,Р РЋРЎС“РЎвЂ¦Р С•Р Р†Р ВµРЎР‚РЎвЂ¦iР Р†Р С”Р В°,ua,Р РЋРЎС“РЎвЂ¦Р С•Р Р†Р ВµРЎР‚РЎвЂ¦iР Р†Р С”Р В°
T,en,Uspenka,ru,Р Р€РЎРѓР С—Р ВµР Р…Р С”Р В°,ua,Р Р€РЎРѓР С—Р ВµР Р…Р С”Р В°
T,en,Hustjanka,ru,Р ТђРЎС“РЎРѓРЎвЂљРЎРЏР Р…Р С”Р В°,ua,Р ТђРЎС“РЎРѓРЎвЂљРЎРЏР Р…Р С”Р В°
T,en,CHervona sloboda,ru,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р В° Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°,ua,Р В§Р ВµРЎР‚Р Р†Р С•Р Р…Р В° Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°
T,en,CHerepivka,ru,Р В§Р ВµРЎР‚Р ВµР С—iР Р†Р С”Р В°,ua,Р В§Р ВµРЎР‚Р ВµР С—iР Р†Р С”Р В°
T,en,CHernecha sloboda,ru,Р В§Р ВµРЎР‚Р Р…Р ВµРЎвЂЎР В° Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°,ua,Р В§Р ВµРЎР‚Р Р…Р ВµРЎвЂЎР В° Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°
T,en,Bratenitsja,ru,Р вЂ?РЎР‚Р В°РЎвЂљР ВµР Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂ?РЎР‚Р В°РЎвЂљР ВµР Р…Р С‘РЎвЂ РЎРЏ
T,en,Velika pisarivka,ru,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р СџР С‘РЎРѓР В°РЎР‚iР Р†Р С”Р В°,ua,Р вЂ™Р ВµР В»Р С‘Р С”Р В° Р СџР С‘РЎРѓР В°РЎР‚iР Р†Р С”Р В°
T,en,Vischevesele,ru,Р вЂ™Р С‘РЎвЂ°Р ВµР Р†Р ВµРЎРѓР ВµР В»Р Вµ,ua,Р вЂ™Р С‘РЎвЂ°Р ВµР Р†Р ВµРЎРѓР ВµР В»Р Вµ
T,en,Vil'ne,ru,Р вЂ™iР В»РЎРЉР Р…Р Вµ,ua,Р вЂ™iР В»РЎРЉР Р…Р Вµ
T,en,Volodimirivka,ru,Р вЂ™Р С•Р В»Р С•Р Т‘Р С‘Р С?Р С‘РЎР‚iР Р†Р С”Р В°,ua,Р вЂ™Р С•Р В»Р С•Р Т‘Р С‘Р С?Р С‘РЎР‚iР Р†Р С”Р В°
T,en,Dmitrivka,ru,Р вЂќР С?Р С‘РЎвЂљРЎР‚iР Р†Р С”Р В°,ua,Р вЂќР С?Р С‘РЎвЂљРЎР‚iР Р†Р С”Р В°
T,en,Dobrjans'ke,ru,Р вЂќР С•Р В±РЎР‚РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂќР С•Р В±РЎР‚РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Ivanivka,ru,IР Р†Р В°Р Р…iР Р†Р С”Р В°,ua,IР Р†Р В°Р Р…iР Р†Р С”Р В°
T,en,YIzdets'ke,ru,Р вЂЎР В·Р Т‘Р ВµРЎвЂ РЎРЉР С”Р Вµ,ua,Р вЂЎР В·Р Т‘Р ВµРЎвЂ РЎРЉР С”Р Вµ
T,en,Katans'ke,ru,Р С™Р В°РЎвЂљР В°Р Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р С™Р В°РЎвЂљР В°Р Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Kirikivka,ru,Р С™Р С‘РЎР‚Р С‘Р С”iР Р†Р С”Р В°,ua,Р С™Р С‘РЎР‚Р С‘Р С”iР Р†Р С”Р В°
T,en,Kramchanka,ru,Р С™РЎР‚Р В°Р С?РЎвЂЎР В°Р Р…Р С”Р В°,ua,Р С™РЎР‚Р В°Р С?РЎвЂЎР В°Р Р…Р С”Р В°
T,en,Lugivka,ru,Р вЂєРЎС“Р С–iР Р†Р С”Р В°,ua,Р вЂєРЎС“Р С–iР Р†Р С”Р В°
T,en,Pozhnja,ru,Р СџР С•Р В¶Р Р…РЎРЏ,ua,Р СџР С•Р В¶Р Р…РЎРЏ
T,en,Popivka,ru,Р СџР С•Р С—iР Р†Р С”Р В°,ua,Р СџР С•Р С—iР Р†Р С”Р В°
T,en,Rozsoshi,ru,Р В Р С•Р В·РЎРѓР С•РЎв‚¬i,ua,Р В Р С•Р В·РЎРѓР С•РЎв‚¬i
T,en,Rjabina,ru,Р В РЎРЏР В±Р С‘Р Р…Р В°,ua,Р В РЎРЏР В±Р С‘Р Р…Р В°
T,en,Sidorova JAruga,ru,Р РЋР С‘Р Т‘Р С•РЎР‚Р С•Р Р†Р В° Р Р‡РЎР‚РЎС“Р С–Р В°,ua,Р РЋР С‘Р Т‘Р С•РЎР‚Р С•Р Р†Р В° Р Р‡РЎР‚РЎС“Р С–Р В°
T,en,Soldats'ke,ru,Р РЋР С•Р В»Р Т‘Р В°РЎвЂљРЎРѓРЎРЉР С”Р Вµ,ua,Р РЋР С•Р В»Р Т‘Р В°РЎвЂљРЎРѓРЎРЉР С”Р Вµ
T,en,Spirne,ru,Р РЋР С—iРЎР‚Р Р…Р Вµ,ua,Р РЋР С—iРЎР‚Р Р…Р Вµ
T,en,Tarasivka,ru,Р СћР В°РЎР‚Р В°РЎРѓiР Р†Р С”Р В°,ua,Р СћР В°РЎР‚Р В°РЎРѓiР Р†Р С”Р В°
T,en,JAbluchne,ru,Р Р‡Р В±Р В»РЎС“РЎвЂЎР Р…Р Вµ,ua,Р Р‡Р В±Р В»РЎС“РЎвЂЎР Р…Р Вµ
T,en,JAmne,ru,Р Р‡Р С?Р Р…Р Вµ,ua,Р Р‡Р С?Р Р…Р Вµ
T,en,Banichi,ru,Р вЂ?Р В°Р Р…Р С‘РЎвЂЎi,ua,Р вЂ?Р В°Р Р…Р С‘РЎвЂЎi
